Marca,Modelo,Ano,Tipo,Encaixe,Sensor,MP,Processador,IBIS,Peso (Corpo),Tipo de visor,Tela,Tela touch,Pontos AF (Visor),AF (Display),FPS RAW,Buffer RAW,Vídeo,Entrada de microfone,Saída de fone,Conectividade
Sony,NEX-3N,2013,Mirrorless,Sony E-mount,APS-C,16,BIONZ,Nao possui,269g,Nao possui,Articulada (180 para cima) 3.0 pol (460k pontos),Nao possui,25 pontos (contraste),Contraste - funciona em video,4 fps,~6 fotos (aprox.),1080p 60fps sem crop,Nao possui,Nao possui,Nenhuma
Canon,Rebel SL1,2013,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 5,Não possui,407g,Pentaespelho - 95%,Fixa touch 3 pol (1040k pontos),Sim - com foco ao toque,9 pontos (1 em cruz central),Híbrido CMOS AF II (80% cobertura) - contínuo em vídeo,4 fps,~28 fotos (aprox.),1080p 30fps sem crop,Não possui,Não possui,Nenhuma
Canon,Rebel T5i,2013,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 5,Não possui,525g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,9 pontos (todos em cruz),Híbrido CMOS AF - contínuo em vídeo,5 fps,~22 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Não possui,Nenhuma
Canon,EOS 70D,2013,DSLR,Canon EF-S,APS-C,20.2,DIGIC 5+,Nao possui,~755g (aprox.),Pentaprisma - 98% (aprox.),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,19 pontos (todos em cruz),Dual Pixel CMOS AF - primeira camera com essa tecnologia - funciona em video,7 fps,16 fotos,1080p 30fps sem crop,Sim (P2 3.5mm),Nao possui (aprox.),Wi-Fi
Canon,EOS M2,2013,Mirrorless,Canon EF-M,APS-C,18,DIGIC 5,Nao possui,274g,Nao possui visor integrado (sem EVF),Fixa touch 3.0 pol (1040k pontos),Sim - com foco ao toque,Nao divulgado (Hibrido CMOS AF II),Hibrido CMOS AF II - funciona em video - mais rapido que a M original,3.4 fps,~5 fotos (aprox.),1080p 30fps sem crop (aprox.),Nao possui,Nao possui,Wi-Fi + NFC
Sony,A7,2013,Mirrorless,Sony E-mount (FE),Full Frame,24.3,BIONZ X,Não possui,416g,Eletrônico OLED (Tru-Finder) - 100%,Inclinável 3 pol (1230k pontos),Não possui,117 pontos fase + 25 pontos contraste (híbrido),Híbrido (fase + contraste) - funciona em vídeo,5 fps,28 fotos,1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC
Sony,NEX-5T,2013,Mirrorless,Sony E-mount,APS-C,16.1,BIONZ,Nao possui,276g,Nao possui visor integrado (opcional externo eletronico),Articulada (180 para cima) touch 3.0 pol (922k pontos),Sim - com foco ao toque,99 pontos fase + 25 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps (3 fps com AF continuo),~17 fotos (aprox.),1080p 60fps sem crop,Nao possui (aprox.),Nao possui,Wi-Fi + NFC
Canon,Rebel T5,2014,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 4,Não possui,480g,Pentaespelho - 95%,Fixa 3 pol (460k pontos),Não possui,9 pontos (1 em cruz),Contraste (Live View) - manual em vídeo,3 fps,~6 fotos (aprox.),1080p 30fps sem crop,Não possui,Não possui,Nenhuma
Canon,EOS 7D Mark II,2014,DSLR,Canon EF-S,APS-C,20.2,DIGIC 6 (duplo),Nao possui,820g,Pentaprisma - 100%,Fixa 3.0 pol (1040k pontos),Nao possui,65 pontos (todos em cruz),Dual Pixel CMOS AF - funciona em video,10 fps,31 fotos,1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Nenhuma nativo (Wi-Fi via adaptador opcional)
Canon,Rebel T6i,2015,DSLR,Canon EF / EF-S,APS-C,24.2,DIGIC 6,Não possui,555g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,19 pontos (todos em cruz),Híbrido CMOS AF III - sem Servo AF em Live View,5 fps,~24 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Não possui,Wi-Fi + NFC
Canon,Rebel T6s,2015,DSLR,Canon EF / EF-S,APS-C,24.2,DIGIC 6,Não possui,~565g (aprox.),Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,19 pontos (todos em cruz),Híbrido CMOS AF III - com Servo AF em Live View,5 fps,~24 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Não possui,Wi-Fi + NFC
Canon,EOS 5DS,2015,DSLR,Canon EF,Full Frame,50.3,DIGIC 6 (duplo),Nao possui,845g,Pentaprisma - 100%,Fixa 3.2 pol (1040k pontos),Nao possui,61 pontos (41 em cruz),Contraste (Live View) - funciona em video,5 fps,12 fotos,1080p 30fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm) (aprox.),Nenhuma nativo (Wi-Fi via adaptador opcional)
Canon,EOS 5DS R,2015,DSLR,Canon EF,Full Frame,50.3,DIGIC 6 (duplo),Nao possui,845g,Pentaprisma - 100%,Fixa 3.2 pol (1040k pontos),Nao possui,61 pontos (41 em cruz),Contraste (Live View) - funciona em video,5 fps,12 fotos,1080p 30fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm) (aprox.),Nenhuma nativo (Wi-Fi via adaptador opcional) - sem filtro passa-baixa (mais nitidez)
Canon,EOS M3,2015,Mirrorless,Canon EF-M,APS-C,24.2,DIGIC 6,Nao possui,366g,Nao possui integrado (EVF externo opcional EVF-DC1),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,49 pontos (Hibrido CMOS AF III),Hibrido CMOS AF III - funciona em video,4.2 fps,~8 fotos (aprox.),1080p 30fps sem crop,Nao possui,Nao possui,Wi-Fi + NFC
Canon,EOS M10,2015,Mirrorless,Canon EF-M,APS-C,18,DIGIC 6,Nao possui,301g,Nao possui visor integrado (sem EVF),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,49 pontos (Hibrido CMOS AF II),Hibrido CMOS AF II - funciona em video,4.6 fps,~6 fotos (aprox.),1080p 30fps sem crop (aprox.),Nao possui,Nao possui,Wi-Fi + NFC
Canon,T6,2016,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 4+,Não possui,440g,Pentaespelho - 95%,Fixa 3 pol (920k pontos),Não possui,9 pontos (1 em cruz - central),Contraste (FlexiZone/Face Detect/AF Quick) - funciona em vídeo - porém lento,3 fps,6 fotos,1080p 30fps sem crop,Não possui,Não possui,Wi-Fi + NFC
Canon,EOS-1D X Mark II,2016,DSLR,Canon EF,Full Frame,20.2,DIGIC 6 + Dual DIGIC 6+,Nao possui,1340g,Pentaprisma - 100%,Fixa touch 3.2 pol (1620k pontos),Sim - com foco ao toque,61 pontos (41 em cruz),Contraste (Live View) - funciona em video,14 fps,~73 fotos RAW (aprox.),4K (DCI) 60fps com crop,Sim (P2 3.5mm),Sim (P2 3.5mm),GPS integrado (Wi-Fi via adaptador opcional)
Canon,EOS 80D,2016,DSLR,Canon EF-S,APS-C,24.2,DIGIC 6,Nao possui,730g,Pentaprisma - 100%,Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,45 pontos (todos em cruz),Dual Pixel CMOS AF - funciona em video,7 fps,~25 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC
Canon,EOS 5D Mark IV,2016,DSLR,Canon EF,Full Frame,30.4,DIGIC 6+ e DIGIC 6,Nao possui,800g,Pentaprisma - 100%,Fixa touch 3.2 pol (1620k pontos),Sim - com foco ao toque,61 pontos (41 em cruz),Dual Pixel CMOS AF - funciona em video,7 fps,21 fotos,4K (DCI) 30fps com crop 1.64x - 1080p 60fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Wi-Fi + NFC + GPS
Canon,EOS M5,2016,Mirrorless,Canon EF-M,APS-C,24.2,DIGIC 7,Nao possui,427g,Eletronico OLED integrado - 100% (2360k pontos) - primeira EOS M com EVF,Articulada touch 3.2 pol (1620k pontos),Sim - com foco ao toque,49 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,9 fps (7 fps com AF continuo),~17 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Canon,Rebel SL2,2017,DSLR,Canon EF / EF-S,APS-C,24.2,DIGIC 7,Não possui,453g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,9 pontos (1 em cruz central),Dual Pixel CMOS AF - contínuo em vídeo,5 fps,~27 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Não possui,Wi-Fi + Bluetooth
Canon,Rebel T7i,2017,DSLR,Canon EF / EF-S,APS-C,24.2,DIGIC 7,Não possui,532g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,45 pontos (todos em cruz),Dual Pixel CMOS AF - contínuo em vídeo,6 fps,24 fotos,1080p 60fps sem crop,Sim (P2 3.5mm),Não possui,Wi-Fi + NFC + Bluetooth
Canon,EOS 77D,2017,DSLR,Canon EF-S,APS-C,24.2,DIGIC 7,Nao possui,493g,Pentaespelho - 95%,Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,45 pontos (todos em cruz),Dual Pixel CMOS AF - funciona em video,6 fps,~27 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui (aprox.),Wi-Fi + NFC + Bluetooth
Canon,EOS 6D Mark II,2017,DSLR,Canon EF,Full Frame,26.2,DIGIC 7,Nao possui,~765g (aprox.),Pentaprisma - 98%,Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,45 pontos (todos em cruz),Dual Pixel CMOS AF - funciona em video,6.5 fps,~21 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui (aprox.),Wi-Fi + NFC + Bluetooth + GPS
Canon,EOS M6,2017,Mirrorless,Canon EF-M,APS-C,24.2,DIGIC 7,Nao possui,343g,Nao possui integrado (EVF externo opcional EVF-DC2),Articulada touch 3.0 pol (1040k pontos),Sim - com foco ao toque,49 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,9 fps (7 fps com AF continuo),~17 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + NFC + Bluetooth
Canon,EOS M100,2017,Mirrorless,Canon EF-M,APS-C,24.2,DIGIC 7,Nao possui,302g,Nao possui visor (sem hot-shoe para EVF externo),Fixa touch 3.0 pol (1040k pontos),Sim - com foco ao toque,49 pontos (Dual Pixel CMOS AF),Dual Pixel CMOS AF - funciona em video,6.1 fps (4 fps com AF continuo),89 fotos (sem AF) - ate 1000 fotos (com AF),1080p 60fps sem crop,Nao possui,Nao possui,Wi-Fi + NFC + Bluetooth
Canon,Rebel T7,2018,DSLR,Canon EF / EF-S,APS-C,24.1,DIGIC 4+,Não possui,~475g (aprox.),Pentaespelho - 95%,Fixa 3 pol (920k pontos),Não possui,9 pontos (1 em cruz central),Contraste (Live View) - manual em vídeo,3 fps,11 fotos,1080p 30fps sem crop,Não possui,Não possui,Wi-Fi + NFC
